#         noname          noname
   0.02500000               0
   0.07500000               0
   0.12500000               0
   0.17500000               0
   0.22500000               0
   0.27500000               0
   0.32500000               0
   0.37500000               0
   0.42500000               0
   0.47500000               0
   0.52500000               0
   0.57500000               0
   0.62500000               0
   0.67500000               0
   0.72500000               0
   0.77500000               0
   0.82500000               0
   0.87500000               0
   0.92500000               0
   0.97500000               0
   1.02500000               0
   1.07500000               0
   1.12500000               0
   1.17500000               0
   1.22500000               0
   1.27500000               0
   1.32500000               0
   1.37500000               0
   1.42500000               0
   1.47500000               0
   1.52500000               0
   1.57500000               0
   1.62500000               0
   1.67500000               0
   1.72500000               0
   1.77500000               0
   1.82500000               0
   1.87500000               0
   1.92500000               0
   1.97500000               0
   2.02500000     6.32107e-08
   2.07500000     1.10252e-06
   2.12500000     1.28462e-05
   2.17500000     0.000117073
   2.22500000       0.0008474
   2.27500000      0.00489811
   2.32500000       0.0227547
   2.37500000       0.0856799
   2.42500000        0.264623
   2.47500000         0.68205
   2.52500000         1.50269
   2.57500000         2.91398
   2.62500000         5.11146
   2.67500000         8.23519
   2.72500000         12.1855
   2.77500000         16.4485
   2.82500000         20.2335
   2.87500000         22.9316
   2.92500000         24.4653
   2.97500000         25.2162
   3.02500000         25.7246
   3.07500000          26.436
   3.12500000         27.4975
   3.17500000          28.634
   3.22500000         29.3601
   3.27500000         29.5402
   3.32500000         29.7356
   3.37500000         30.8502
   3.42500000         33.4459
   3.47500000         37.5097
   3.52500000         42.7748
   3.57500000         48.9837
   3.62500000         55.6946
   3.67500000         61.9066
   3.72500000         66.0732
   3.77500000         66.7608
   3.82500000         63.5905
   3.87500000         57.6634
   3.92500000         50.9047
   3.97500000         44.7485
   4.02500000         39.3984
   4.07500000         34.3836
   4.12500000         29.6723
   4.17500000         26.0147
   4.22500000         24.2065
   4.27500000         24.2239
   4.32500000         25.1757
   4.37500000         25.9794
   4.42500000          25.995
   4.47500000         25.1491
   4.52500000         23.7035
   4.57500000         22.0068
   4.62500000         20.3794
   4.67500000         19.1111
   4.72500000         18.4525
   4.77500000         18.4753
   4.82500000          18.885
   4.87500000          19.068
   4.92500000         18.4564
   4.97500000         16.9249
   5.02500000         14.8744
   5.07500000         12.9525
   5.12500000         11.6573
   5.17500000         11.1279
   5.22500000         11.2047
   5.27500000         11.6079
   5.32500000         12.0585
   5.37500000         12.3093
   5.42500000          12.175
   5.47500000         11.6109
   5.52500000         10.7563
   5.57500000         9.83972
   5.62500000         9.01238
   5.67500000         8.29106
   5.72500000         7.65344
   5.77500000         7.14324
   5.82500000         6.86529
   5.87500000          6.8959
   5.92500000         7.18908
   5.97500000         7.54824
   6.02500000         7.71652
   6.07500000         7.54075
   6.12500000          7.0552
   6.17500000         6.41233
   6.22500000         5.76363
   6.27500000         5.20571
   6.32500000         4.78637
   6.37500000          4.5201
   6.42500000         4.40176
   6.47500000         4.41996
   6.52500000         4.55482
   6.57500000         4.75868
   6.62500000         4.94892
   6.67500000         5.03452
   6.72500000         4.96038
   6.77500000         4.73724
   6.82500000         4.43641
   6.87500000         4.15061
   6.92500000         3.94323
   6.97500000          3.8209
   7.02500000         3.75094
   7.07500000         3.70841
   7.12500000         3.70491
   7.17500000         3.76586
   7.22500000         3.87961
   7.27500000         3.97714
   7.32500000         3.97168
   7.37500000         3.82424
   7.42500000         3.57153
   7.47500000         3.28996
   7.52500000         3.03944
   7.57500000         2.84475
   7.62500000         2.71398
   7.67500000         2.65296
   7.72500000         2.65842
   7.77500000         2.70732
   7.82500000         2.76188
   7.87500000         2.79204
   7.92500000         2.79318
   7.97500000         2.77411
   8.02500000         2.72925
   8.07500000         2.63849
   8.12500000          2.4993
   8.17500000         2.34381
   8.22500000         2.21559
   8.27500000         2.13644
   8.32500000         2.09712
   8.37500000         2.07136
   8.42500000          2.0362
   8.47500000         1.98657
   8.52500000         1.93614
   8.57500000         1.90338
   8.62500000         1.89323
   8.67500000         1.88997
   8.72500000         1.86919
   8.77500000         1.81932
   8.82500000         1.75114
   8.87500000         1.68454
   8.92500000         1.62719
   8.97500000         1.56862
   9.02500000         1.49547
   9.07500000         1.40977
   9.12500000         1.33042
   9.17500000         1.27881
   9.22500000         1.26562
   9.27500000         1.28794
   9.32500000         1.33161
   9.37500000         1.37444
   9.42500000         1.39296
   9.47500000         1.37435
   9.52500000         1.32485
   9.57500000         1.26293
   9.62500000         1.20169
   9.67500000         1.14036
   9.72500000         1.07483
   9.77500000          1.0119
   9.82500000        0.968463
   9.87500000        0.958328
   9.92500000        0.982035
   9.97500000         1.02592
  10.02500000         1.06812
  10.07500000         1.08939
  10.12500000         1.08313
  10.17500000         1.05596
  10.22500000          1.0184
  10.27500000        0.976098
  10.32500000        0.929693
  10.37500000        0.880604
  10.42500000        0.834895
  10.47500000        0.801196
  10.52500000         0.78502
  10.57500000        0.785291
  10.62500000        0.796363
  10.67500000        0.812123
  10.72500000        0.827255
  10.77500000        0.836652
  10.82500000        0.836176
  10.87500000        0.824117
  10.92500000        0.801499
  10.97500000         0.77135
  11.02500000        0.737334
  11.07500000        0.702359
  11.12500000        0.668839
  11.17500000        0.640612
  11.22500000        0.623419
  11.27500000        0.621637
  11.32500000        0.633856
  11.37500000        0.652431
  11.42500000        0.668352
  11.47500000         0.67684
  11.52500000        0.678288
  11.57500000        0.674491
  11.62500000        0.665401
  11.67500000        0.649913
  11.72500000        0.628413
  11.77500000        0.603477
  11.82500000        0.578695
  11.87500000        0.557134
  11.92500000        0.540327
  11.97500000        0.528448
  12.02500000        0.521085
  12.07500000        0.517425
  12.12500000        0.516389
  12.17500000        0.517327
  12.22500000        0.519833
  12.27500000        0.522367
  12.32500000        0.522024
  12.37500000        0.516358
  12.42500000        0.505017
  12.47500000        0.489406
  12.52500000        0.471389
  12.57500000        0.452996
  12.62500000        0.437213
  12.67500000        0.427812
  12.72500000        0.427013
  12.77500000        0.433141
  12.82500000        0.441298
  12.87500000        0.446566
